Timestamp,Year,Month,Day,Quarter
2026-02-16T10:58:17.000+01:00,2026,2,16,1
2026-02-16T10:58:16.000+01:00,2026,2,16,1
2026-02-16T10:58:15.000+01:00,2026,2,16,1
